YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1997,-1.34,2.43,2.82,8.16,13.58,20.28,23.33,21.93,18.09,11.75,5.55,1.95,1.77,8.19,21.85,11.80,10.90
1998,1.26,1.96,5.46,9.87,15.94,18.32,23.71,22.67,19.23,12.64,7.17,4.13,1.72,10.42,21.57,13.01,11.68
1999,-1.20,1.06,4.26,9.73,14.72,21.82,24.45,22.02,19.65,11.85,9.06,3.13,1.33,9.57,22.76,13.52,11.80
2000,-2.32,1.38,6.46,8.69,14.18,19.80,21.25,21.43,17.68,12.33,6.73,-1.39,0.73,9.78,20.83,12.25,10.89
2001,-0.97,0.01,1.99,9.44,15.47,21.88,21.22,23.44,18.65,13.61,9.21,4.90,-0.78,8.97,22.18,13.82,11.05
2002,2.76,2.56,4.72,9.99,14.43,19.31,24.13,24.16,20.35,11.46,6.24,0.79,3.41,9.71,22.53,12.68,12.08
2003,-4.25,-2.99,3.30,7.07,12.97,18.70,23.65,23.63,18.89,11.82,7.86,2.39,-2.15,7.78,21.99,12.86,10.12
2004,-6.14,0.71,4.24,9.86,15.05,19.31,21.82,22.41,18.61,12.26,7.00,1.79,-1.01,9.72,21.18,12.62,10.63
2005,-2.79,-0.35,1.93,9.97,11.36,20.33,23.05,23.68,20.06,12.74,7.84,0.38,-0.45,7.75,22.35,13.55,10.80
2006,2.63,-0.45,3.83,10.03,14.02,20.19,24.54,22.03,18.23,12.50,9.63,5.13,0.85,9.29,22.25,13.45,11.46
2007,0.53,-3.13,3.15,7.45,16.45,20.41,22.85,22.73,19.93,15.24,6.26,0.33,0.84,9.02,22.00,13.81,11.42
2008,0.90,0.41,3.58,9.75,14.40,21.39,24.02,21.24,18.60,11.97,6.44,2.14,0.55,9.24,22.22,12.34,11.09
2009,-3.85,0.61,3.14,10.41,15.40,17.51,21.51,23.23,17.45,11.13,9.46,0.47,-0.37,9.65,20.75,12.68,10.68
2010,-1.51,0.48,6.42,11.50,16.94,21.12,24.94,22.84,20.18,12.93,6.93,0.19,-0.19,11.62,22.97,13.35,11.94
2011,-2.63,-1.00,3.66,9.88,14.94,19.31,24.99,23.09,19.42,14.00,10.03,4.26,-1.15,9.49,22.46,14.48,11.32
2012,1.00,2.78,7.95,11.54,15.78,19.37,24.14,23.75,18.26,13.66,5.68,3.63,2.68,11.76,22.42,12.53,12.35
2013,-0.20,-0.43,3.23,9.45,14.96,20.94,25.10,22.36,18.22,13.75,6.02,0.81,1.00,9.21,22.80,12.66,11.42
2014,-2.41,-1.57,0.91,9.02,14.89,20.25,23.42,21.61,19.07,13.58,5.90,3.52,-1.06,8.27,21.76,12.85,10.46
2015,-3.18,-7.09,0.77,8.94,16.87,18.15,23.30,23.75,20.70,12.25,9.30,7.39,-2.25,8.86,21.73,14.08,10.61
2016,0.39,1.54,5.89,8.44,14.84,20.29,24.54,24.74,19.74,12.99,7.94,1.89,3.11,9.72,23.19,13.56,12.39
2017,1.79,2.64,1.19,10.94,13.59,20.89,22.54,22.24,19.59,16.34,6.54,-0.72,2.11,8.57,21.89,14.16,11.68
2018,-1.82,3.43,2.98,7.43,16.78,19.83,24.53,25.23,20.58,12.48,6.13,2.97,0.30,9.06,23.20,13.06,11.40
2019,-0.63,0.92,3.97,10.97,14.37,20.17,25.97,23.42,19.97,14.17,5.97,2.91,1.09,9.77,23.19,13.37,11.85
2020,3.36,3.21,5.46,7.01,13.76,20.71,24.06,23.41,18.66,12.66,8.86,2.26,3.16,8.74,22.73,13.39,12.01
2021,-0.54,-0.64,5.61,10.46,16.31,23.56,22.41,24.96,20.91,15.46,7.06,4.00,0.36,10.79,23.64,14.48,12.32
2022,-2.50,0.70,5.20,10.05,15.85,19.95,25.30,24.85,18.45,13.65,9.40,2.95,0.73,10.37,23.37,13.83,12.07
2023,3.30,1.65,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,2.63,999.90,999.90,999.90,999.90
